,Query,Results,Page Domain,Rank,In Master List
0,are immigrants more likely to be on welfare,https://cis.org/Report/Welfare-Use-Immigrant-and-Native-Households,cis.org,1,Yes
1,are immigrants more likely to be on welfare,https://cis.org/Report/Cost-Welfare-Use-Immigrant-and-Native-Households,cis.org,2,Yes
2,are immigrants more likely to be on welfare,https://www.vox.com/policy-and-politics/2017/8/4/16094684/trump-immigrants-welfare,vox.com,3,No
3,are immigrants more likely to be on welfare,https://www.usatoday.com/story/news/nation/2015/09/01/immigrant-welfare-use-report/71517072/,usatoday.com,4,No
4,are immigrants more likely to be on welfare,https://fairus.org/issue/workforce-and-economy/immigration-and-welfare,fairus.org,5,Yes
5,are immigrants more likely to be on welfare,https://newrepublic.com/article/122714/immigrants-dont-drain-welfare-they-fund-it,newrepublic.com,6,No
6,are immigrants more likely to be on welfare,https://www.cato.org/blog/cis-exaggerates-cost-immigrant-welfare-use,cato.org,7,No
7,are immigrants more likely to be on welfare,http://www.nationalreview.com/corner/444543/immigration-welfare-media-misleads-washington-post,nationalreview.com,8,No
8,are immigrants more likely to be on welfare,https://www.washingtonpost.com/world/national-security/trump-administration-circulates-more-draft-immigration-restrictions-focusing-on-protecting-us-jobs/2017/01/31/38529236-e741-11e6-80c2-30e57e57e05d_story.html,washingtonpost.com,9,No
9,are immigrants more likely to be on welfare,https://www.brookings.edu/research/welfare-benefits-for-non-citizens/,brookings.edu,10,No
10,are immigrants more likely to be on welfare,https://www.csmonitor.com/USA/Society/2016/0509/Do-immigrants-receive-more-welfare-money-than-natural-born-US-citizens,csmonitor.com,11,No
11,are immigrants more likely to be on welfare,https://www.irp.wisc.edu/publications/focus/pdfs/foc83b.pdf,wisc.edu,12,No
12,are immigrants more likely to be on welfare,https://www.urban.org/sites/default/files/publication/70281/410345-Summary-of-Facts-About-Immigrants-Use-of-Welfare.pdf,urban.org,13,No
13,are immigrants more likely to be on welfare,https://www.urban.org/publications/305184.html,urban.org,14,No
14,are immigrants more likely to be on welfare,http://www.journalnow.com/news/nation_world/trump-considering-order-that-would-target-immigrants-on-welfare-or/article_37c483d2-e751-11e6-815c-fbdda288a07a.html,journalnow.com,15,No
15,are immigrants more likely to be on welfare,https://www.snopes.com/trump-undocumented-immigrants-welfare/,snopes.com,16,No
16,are immigrants more likely to be on welfare,https://sites.hks.harvard.edu/fs/gborjas/publications/popular/NR061697.htm,harvard.edu,17,No
17,are immigrants more likely to be on welfare,https://www.theatlantic.com/business/archive/2017/02/trump-immigrants/515310/,theatlantic.com,18,No
18,are immigrants more likely to be on welfare,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193987/,nih.gov,19,No
19,are immigrants more likely to be on welfare,http://www.independent.co.uk/news/world/americas/donald-trump-executive-order-deportation-immigrants-welfare-a7557476.html,independent.co.uk,20,No
0,are immigrants allowed to vote,https://en.wikipedia.org/wiki/Right_of_foreigners_to_vote_in_the_United_States,wikipedia.org,1,No
1,are immigrants allowed to vote,http://www.newsweek.com/immigrants-are-getting-right-vote-cities-across-america-664467,newsweek.com,2,No
2,are immigrants allowed to vote,http://www.politifact.com/florida/statements/2017/sep/15/adam-putnam/san-francisco-takoma-park-noncitizens-elections/,politifact.com,3,No
3,are immigrants allowed to vote,https://www.thoughtco.com/can-i-vote-1951751,thoughtco.com,4,No
4,are immigrants allowed to vote,https://fairus.org/issue/societal-impact/noncitizens-voting-violations-and-us-elections,fairus.org,5,Yes
5,are immigrants allowed to vote,http://www.foxnews.com/us/2017/09/13/illegal-immigrants-get-ok-to-vote-in-maryland-citys-elections.html,foxnews.com,6,No
6,are immigrants allowed to vote,http://www.foxnews.com/politics/2017/09/16/maryland-city-rescinds-vote-that-allowed-illegal-immigrants-to-ballot-in-local-elections.html,foxnews.com,7,No
7,are immigrants allowed to vote,http://time.com/4859478/immigrant-voters-history/,time.com,8,No
8,are immigrants allowed to vote,http://time.com/4669899/illegal-citizens-voting-trump/,time.com,9,No
9,are immigrants allowed to vote,https://www.washingtontimes.com/news/2016/apr/4/supreme-court-illegals-count-apportionment/,washingtontimes.com,10,No
10,are immigrants allowed to vote,https://thinkprogress.org/college-park-md-local-elections-ffc7accd7ab0/,thinkprogress.org,11,No
11,are immigrants allowed to vote,http://immigration.findlaw.com/visas/immigrants-your-rights-as-a-permanent-resident.html,findlaw.com,12,No
12,are immigrants allowed to vote,http://joshblackman.com/blog/2013/05/09/does-the-u-s-constitution-allow-non-citizens-to-vote/,joshblackman.com,13,No
13,are immigrants allowed to vote,https://www.snopes.com/illegal-immigrants-2008-election/,snopes.com,14,No
14,are immigrants allowed to vote,http://www.latimes.com/opinion/editorials/la-ed-citizenship-voting-20141221-story.html,latimes.com,15,No
15,are immigrants allowed to vote,http://www.baltimoresun.com/news/maryland/politics/blog/bs-md-immigrant-voting-20170805-story.html,baltimoresun.com,16,No
16,are immigrants allowed to vote,https://www.thedailybeast.com/maryland-town-may-let-undocumented-immigrants-vote,thedailybeast.com,17,No
17,are immigrants allowed to vote,http://www.washingtonexaminer.com/college-park-maryland-wont-allow-non-citizens-to-vote-in-local-elections-after-all/article/2634648,washingtonexaminer.com,18,No
18,are immigrants allowed to vote,http://www.telegraph.co.uk/news/0/eligible-vote-uk-general-election/,telegraph.co.uk,19,No
19,are immigrants allowed to vote,http://www.fox5dc.com/news/local-news/not-so-fast-non-us-citizens-in-college-park-will-not-be-allowed-to-vote-after-all,fox5dc.com,20,No
0,cost of illegal immigration,https://fairus.org/issue/publications-resources/fiscal-burden-illegal-immigration-united-states-taxpayers,fairus.org,1,Yes
1,cost of illegal immigration,http://www.washingtonexaminer.com/record-135-billion-a-year-for-illegal-immigration-average-8075-each-25000-in-ny/article/2635757,washingtonexaminer.com,2,No
2,cost of illegal immigration,http://thehill.com/blogs/congress-blog/homeland-security/352869-the-cost-of-illegal-immigration-to-taxpayers-is-growing,thehill.com,3,No
3,cost of illegal immigration,https://www.washingtontimes.com/news/2017/aug/3/illegal-immigrants-cost-taxpayers-750-billion-over/,washingtontimes.com,4,No
4,cost of illegal immigration,http://www.politifact.com/truth-o-meter/statements/2016/sep/01/donald-trump/donald-trump-says-illegal-immigration-costs-113-bi/,politifact.com,5,No
5,cost of illegal immigration,http://www.heritage.org/immigration/report/the-fiscal-cost-unlawful-immigrants-and-amnesty-the-us-taxpayer,heritage.org,6,No
6,cost of illegal immigration,https://cis.org/Report/Deportation-vs-Cost-Letting-Illegal-Immigrants-Stay,cis.org,7,Yes
7,cost of illegal immigration,https://en.wikipedia.org/wiki/Economic_impact_of_illegal_immigrants_in_the_United_States,wikipedia.org,8,No
